label,svm_pred,paras_pred,true_substrate,exact_angle,rounded_angle_grp,grp_no
GA0070623_RS15270_AMP_binding_NZ_LT607752__3749427_3750627_____,UNKNOWN,tyr,UNKNOWN,GA0070623_RS15270_AMP_binding_NZ_LT607752__3749427_3750627_____,130,1
CIK06_RS09110_AMP_binding_NZ_CP022961__2040932_2042171_____,UNKNOWN,gln,UNKNOWN,CIK06_RS09110_AMP_binding_NZ_CP022961__2040932_2042171_____,130,1
C5B73_RS16020_AMP_binding_NZ_CP026746__3416928_3418119_____,UNKNOWN,arg,UNKNOWN,C5B73_RS16020_AMP_binding_NZ_CP026746__3416928_3418119_____,130,1
CU7111_RS01680_AMP_binding_NC_020230__408095_409196_____,UNKNOWN,arg,UNKNOWN,CU7111_RS01680_AMP_binding_NC_020230__408095_409196_____,130,1
CSPHI_RS01625_AMP_binding_NZ_CP009248__355299_356448_____,UNKNOWN,orn,UNKNOWN,CSPHI_RS01625_AMP_binding_NZ_CP009248__355299_356448_____,130,1
GA0070610_RS12330_AMP_binding_NZ_LT607733__2803195_2804404_____,UNKNOWN,arg,UNKNOWN,GA0070610_RS12330_AMP_binding_NZ_LT607733__2803195_2804404_____,150,2
GA0070610_RS09960_AMP_binding_NZ_LT607733__2234775_2235999_____,UNKNOWN,gln,UNKNOWN,GA0070610_RS09960_AMP_binding_NZ_LT607733__2234775_2235999_____,150,2
SLNWT_RS32350_AMP_binding_NZ_CP010519__8017798_8019025_____,arg,arg,UNKNOWN,SLNWT_RS32350_AMP_binding_NZ_CP010519__8017798_8019025_____,160,3
B6264_RS22955_AMP_binding_NZ_CP020567__5165480_5166587_____,UNKNOWN,tyr,UNKNOWN,B6264_RS22955_AMP_binding_NZ_CP020567__5165480_5166587_____,190,4
ALPR1_RS11580_AMP_binding_NZ_CM001023__2751988_2753185_____,UNKNOWN,tyr,UNKNOWN,ALPR1_RS11580_AMP_binding_NZ_CM001023__2751988_2753185_____,190,4
WPG_RS01910_AMP_binding_NZ_AP014583__407279_408464_____,UNKNOWN,tyr,UNKNOWN,WPG_RS01910_AMP_binding_NZ_AP014583__407279_408464_____,190,4
MEALZ_RS07440_AMP_binding_NC_016112__1733256_1734486_____,UNKNOWN,tyr,UNKNOWN,MEALZ_RS07440_AMP_binding_NC_016112__1733256_1734486_____,190,4
CEK71_RS01140_AMP_binding_NZ_CP022129__253386_254595_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS01140_AMP_binding_NZ_CP022129__253386_254595_____,190,4
CEK71_RS20790_AMP_binding_NZ_CP022129__4614933_4616133_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS20790_AMP_binding_NZ_CP022129__4614933_4616133_____,190,4
CEK71_RS17840_AMP_binding_NZ_CP022129__3964013_3965210_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS17840_AMP_binding_NZ_CP022129__3964013_3965210_____,190,4
B1812_RS21440_AMP_binding_NZ_CP019949__3837_5034_____,UNKNOWN,tyr,UNKNOWN,B1812_RS21440_AMP_binding_NZ_CP019949__3837_5034_____,190,4
METME_RS17645_AMP_binding_NC_015572__3889425_3890628_____,UNKNOWN,tyr,UNKNOWN,METME_RS17645_AMP_binding_NC_015572__3889425_3890628_____,190,4
BLU65_RS24245_AMP_binding_NZ_LT629746__5373115_5374309_____,UNKNOWN,tyr,UNKNOWN,BLU65_RS24245_AMP_binding_NZ_LT629746__5373115_5374309_____,190,4
CQW49_RS17720_AMP_binding_NZ_CP023737__3727196_3728390_____,UNKNOWN,tyr,UNKNOWN,CQW49_RS17720_AMP_binding_NZ_CP023737__3727196_3728390_____,190,4
CXQ80_RS08810_AMP_binding_NZ_CP025262__1937879_1939079_____,UNKNOWN,tyr,UNKNOWN,CXQ80_RS08810_AMP_binding_NZ_CP025262__1937879_1939079_____,190,4
IEC33019_RS06715_AMP_binding_NZ_CP016634__1403700_1404897_____,UNKNOWN,tyr,UNKNOWN,IEC33019_RS06715_AMP_binding_NZ_CP016634__1403700_1404897_____,190,4
AAW51_RS13840_AMP_binding_NZ_CP011371__3207711_3208887_____,UNKNOWN,tyr,UNKNOWN,AAW51_RS13840_AMP_binding_NZ_CP011371__3207711_3208887_____,190,4
A0U95_RS04315_AMP_binding_NZ_CP014693__989590_990772_____,UNKNOWN,tyr,UNKNOWN,A0U95_RS04315_AMP_binding_NZ_CP014693__989590_990772_____,190,4
AVA_RS27930_AMP_binding_NC_007412__4291_5500_____,UNKNOWN,tyr,UNKNOWN,AVA_RS27930_AMP_binding_NC_007412__4291_5500_____,190,4
MFUL124B02_RS23295_AMP_binding_NZ_CP006003__5930310_5931513_____,UNKNOWN,tyr,UNKNOWN,MFUL124B02_RS23295_AMP_binding_NZ_CP006003__5930310_5931513_____,190,4
