label,taxonomic_class,color
B6A39_RS12315_AMP_binding_NZ_CP020562__2636973_2638170_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ABAZ39_RS25275_AMP_binding_NZ_CP007795__651999_653187_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ROSMUCSMR3_RS01485_AMP_binding_NZ_CP020474__300920_302114_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AMC87_RS04700_AMP_binding_NZ_CP013537__982504_983704_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
C2U31_RS16085_AMP_binding_NZ_CP026124__3502164_3503397_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A6C57_RS11730_AMP_binding_NZ_CP015317__2878783_2879950_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A7J05_RS34520_AMP_binding_NZ_CP015588__7889944_7891102_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SXIN_RS02390_AMP_binding_NZ_CP023202__524442_525495_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CO540_RS05120_AMP_binding_NZ_CP024052__1107847_1108870_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B586_RS14710_AMP_binding_NZ_CP011883.2_3142741_3143851_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SACE_RS19515_AMP_binding_NC_009142__4419324_4420473_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AA650_RS13985_AMP_binding_NZ_CP011456__3234228_3235425_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
TO73_RS04345_AMP_binding_NZ_CP010822__788727_789993_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PERMA_RS09560_AMP_binding_NC_012440__1839974_1841201_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B9T62_RS36355_AMP_binding_NZ_CP021780__8020403_8021609_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BEH_RS10760_AMP_binding_NZ_CP011974__2192326_2193484_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AACI_RS12110_AMP_binding_NC_013205__2517697_2518849_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CQW49_RS12450_AMP_binding_NZ_CP023737__2578551_2579718_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
EMIN_RS05175_AMP_binding_NC_010644__1103892_1105023_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AYM39_RS11850_AMP_binding_NZ_CP014360__2682897_2684091_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A8F97_RS00560_AMP_binding_NZ_CP015749__131414_132629_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
JBW_RS22990_AMP_binding_NZ_CP010978__5199466_5200636_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PNK_RS03185_AMP_binding_NZ_LN879502__769905_771105_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PUV_RS07995_AMP_binding_NC_015702__1917403_1918609_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
WCW_RS03385_AMP_binding_NC_014225__761151_762306_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
WCW_RS06625_AMP_binding_NC_014225__1462408_1463611_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
VT84_RS35540_AMP_binding_NZ_CP011271__8542643_8543768_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AXF13_RS03140_AMP_binding_NZ_CP014229__726000_727257_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBG19_RS02615_AMP_binding_NZ_CP016930__534978_536148_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
RB6533_AMP_binding_NC_005027__3469620_3470796_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A9255_RS19690_AMP_binding_NZ_CP016176__4310142_4311357_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
S23_RS32965_AMP_binding_NC_017082__7010009_7011242_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBTA_RS33355_AMP_binding_NC_009485__7461736_7463023_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MFUL124B02_RS10340_AMP_binding_NZ_CP006003__2550590_2551841_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BPHYT_RS20035_AMP_binding_NC_010676__39397_40696_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CDG81_RS18365_AMP_binding_NZ_CP022752__4211867_4213109_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
HOCH_RS05250_AMP_binding_NC_013440__1399986_1401036_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
PCNPT3_RS07025_AMP_binding_NC_020802__1608267_1609620_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AO081_RS06905_AMP_binding_NZ_CP012851__1535578_1536856_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
TFKS16_RS13345_AMP_binding_NZ_AP013045__3224229_3225555______B__,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
STAUR_RS19860_AMP_binding_NC_014623__4892184_4893552_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
LEP3755_RS01830_AMP_binding_NZ_AP017308__418834_420283_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
ACP_RS03925_AMP_binding_NC_012483__939266_940601_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AVL59_RS41185_AMP_binding_NZ_CP016279__9469438_9470806_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBK82_RS02200_AMP_binding_NZ_CP016793__457672_459010_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MMARE11_RS25255_AMP_binding_NZ_HG917972.2_6071100_6072441_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
TBIS_RS09670_AMP_binding_NC_014165__2261228_2262599_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
MFUL124B02_RS27470_AMP_binding_NZ_CP006003__7095347_7096724_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A9R04_RS09430_AMP_binding_NZ_CP017965__2217648_2219007_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBK82_RS34150_AMP_binding_NZ_CP016793__7055913_7057272_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AVL59_RS31355_AMP_binding_NZ_CP016279__7306449_7307757_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B1T43_RS25130_AMP_binding_NZ_CP019883__5585635_5586982______MK__,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
AN480_RS16465_AMP_binding_NZ_CP012885.2_3546919_3548245______MY__,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
R1CP_RS15660_AMP_binding_NZ_CP009111__3437114_3438443_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CEQ30_RS08700_AMP_binding_NZ_CP022088.2_1957201_1958548_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
CRH09_RS17260_AMP_binding_NZ_CP023778__3879120_3880467_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BBJ32_RS21035_AMP_binding_NZ_CP016396__4554539_4555871_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BJL86_RS12565_AMP_binding_NZ_CP015961__2710228_2711566_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
A6C57_RS16795_AMP_binding_NZ_CP015317__4162792_4164073_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
B5M14_RS12995_AMP_binding_NZ_CP020105__3127074_3128346_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
GNIT_RS06125_AMP_binding_NC_016041__1402405_1403656_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
SVI_RS19300_AMP_binding_NC_014012__4684648_4685902_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
BGI50_RS27905_AMP_binding_NZ_CP017045__1385054_1386284_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
WS57_RS26785_AMP_binding_NZ_CP013378__3141725_3142994_____,Unknown_taxonomy_or_antiSMASHdb_v2_entry,#BFBFBF
